station_name,lat,lon,geo_zone,total_trips
E 26 St & 3 Ave,40.740692,-73.981606,0,72060.0
W 95 St & Broadway,40.79377,-73.971886,5,71810.0
South St & Gouverneur Ln,40.703552,-74.0067,16,71787.0
W 106 St & Central Park West,40.798187,-73.960594,5,71773.0
E 51 St & 2 Ave,40.755295,-73.96764,21,71546.0
Bedford Ave & Nassau Ave,40.723118,-73.952126,3,71366.0
Howard St & Lafayette St,40.719105,-73.99973,2,70897.0
W 36 St & 7 Ave,40.752148,-73.98954,9,70875.0
E 59 St & Madison Ave,40.763504,-73.97109,21,70772.0
South St & Whitehall St,40.70122,-74.012344,16,70487.0
W 15 St & 10 Ave,40.742752,-74.00748,4,70405.0
E 41 St & Madison Ave (SW corner),40.752167,-73.97992,24,70382.0
Hudson St & Reade St,40.71625,-74.00911,8,70303.0
7 Ave & Park Pl,40.677616,-73.97324,6,70240.0
E 74 St & 1 Ave,40.768974,-73.95483,7,70118.0
E 48 St & 5 Ave,40.757244,-73.97806,24,70073.0
Park Ave & E 124 St,40.804554,-73.93969,14,70052.0
W 35 St & 9 Ave,40.754147,-73.996086,15,70019.0
E 88 St & 1 Ave,40.7783,-73.948814,13,69781.0
W 30 St & 8 Ave,40.749653,-73.99521,15,69762.0
Amsterdam Ave & W 82 St,40.785248,-73.97668,23,69563.0
E 2 St & 2 Ave,40.72503,-73.9907,2,69368.0
E 40 St & 5 Ave,40.752064,-73.981636,24,69314.0
Atlantic Ave & Furman St,40.69165,-73.99998,19,69157.0
N 12 St & Bedford Ave,40.7208,-73.95485,3,69079.0
Lafayette Ave & Ft Greene Pl,40.687004,-73.97665,19,68900.0
Division St & Bowery,40.71419,-73.996735,2,68751.0
E 12 St & 3 Ave,40.73223,-73.9889,18,68579.0
2 Ave & E 96 St,40.783962,-73.94717,13,68493.0
Franklin St & Dupont St,40.73564,-73.95866,3,68178.0
8 Ave & W 27 St,40.747967,-73.996635,15,68021.0
W 52 St & 6 Ave,40.76133,-73.97982,12,67874.0
King St & Varick St,40.727898,-74.00536,10,67723.0
Grand St & Havemeyer St,40.712868,-73.95698,3,67634.0
Bank St & Washington St,40.7362,-74.00859,10,67215.0
