date,bike_rides_daily,avgTemp
2022-06-08,123906,23.7
2022-06-09,115009,24.399999999999995
2022-06-10,122508,21.8
2022-06-11,115603,21.8
2022-06-12,90287,20.5
2022-06-13,111525,24.2
2022-06-14,123640,23.9
2022-06-15,127915,23.3
2022-06-16,102031,20.3
2022-06-17,119656,25.2
2022-06-18,108577,21.7
2022-06-19,105636,17.3
2022-06-20,114193,20.5
2022-06-21,99400,22.1
2022-06-22,94428,19.1
2022-06-23,117321,19.2
2022-06-24,124257,21.9
2022-06-25,118493,25.8
2022-06-26,106089,27.0
2022-06-27,79616,24.3
2022-06-28,121346,22.4
2022-06-29,121539,23.9
2022-06-30,116209,25.399999999999995
2022-07-01,103432,28.1
2022-07-02,88943,28.7
2022-07-03,89364,26.900000000000002
2022-07-04,94692,25.6
2022-07-05,88946,25.9
2022-07-06,112874,26.0
2022-07-07,114752,24.2
2022-07-08,98312,23.5
2022-07-09,123237,24.7
2022-07-10,115594,23.399999999999995
2022-07-11,111362,24.0
2022-07-12,111767,25.8
2022-07-13,120853,28.9
2022-07-14,120450,26.6
2022-07-15,119355,26.1
2022-07-16,111650,24.3
2022-07-17,111004,25.7
2022-07-18,83439,26.2
2022-07-19,119752,28.2
2022-07-20,117760,31.3
2022-07-21,109101,29.800000000000004
2022-07-22,111786,30.9
2022-07-23,107728,30.3
2022-07-24,99639,31.100000000000005
2022-07-25,96351,29.800000000000004
2022-07-26,122455,25.9
2022-07-27,125081,25.5
2022-07-28,117505,26.7
2022-07-29,114611,28.2
2022-07-30,123256,26.7
2022-07-31,112671,26.3
2022-08-01,98167,23.1
2022-08-02,120945,26.4
2022-08-03,124946,27.6
2022-08-04,118082,29.1
2022-08-05,114401,29.3
2022-08-06,123062,29.6
2022-08-07,95005,29.6
2022-08-08,104188,30.3
2022-08-09,109152,31.3
2022-08-10,123692,27.2
2022-08-11,114225,26.6
2022-08-12,122804,25.6
2022-08-13,132252,23.1
2022-08-14,111858,24.0
2022-08-15,111846,24.300000000000004
2022-08-16,122538,23.6
2022-08-17,120504,23.6
2022-08-18,121945,24.1
2022-08-19,120752,26.3
2022-08-20,128688,27.9
2022-08-21,110432,25.3
2022-08-22,85908,24.5
2022-08-23,118449,25.9
2022-08-24,122883,26.9
2022-08-25,120158,28.1
2022-08-26,108773,27.4
2022-08-27,117835,27.8
2022-08-28,107815,24.6
2022-08-29,108140,26.0
2022-08-30,113460,26.8
2022-08-31,123277,25.6
2022-09-01,121537,25.9
2022-09-02,116500,21.7
2022-09-03,107735,22.8
2022-09-04,99471,25.300000000000004
2022-09-05,93932,25.8
2022-09-06,40735,23.3
2022-09-07,112912,20.8
2022-09-08,134611,21.8
2022-09-09,133707,21.9
2022-09-10,134650,23.6
2022-09-11,67771,23.2
2022-09-12,115155,22.4
2022-09-13,122436,24.7
2022-09-14,135072,22.9
2022-09-15,132381,21.8
2022-09-16,131682,19.6
2022-09-17,130502,20.8
2022-09-18,116749,23.4
2022-09-19,102898,25.6
2022-09-20,130001,23.2
2022-09-21,133613,22.0
2022-09-22,102216,21.800000000000004
2022-09-23,113272,15.1
2022-09-24,113146,14.5
2022-09-25,86810,19.2
2022-09-26,105459,19.4
2022-09-27,116586,19.7
2022-09-28,123677,17.2
2022-09-29,121411,16.6
2022-09-30,115282,14.5
2022-10-01,59778,14.8
2022-10-02,51635,15.2
2022-10-03,49566,11.5
2022-10-04,51994,10.3
2022-10-05,69309,13.8
2022-10-06,123901,17.6
2022-10-07,123619,20.3
2022-10-08,100747,13.9
2022-10-09,93815,12.3
2022-10-10,96125,15.8
2022-10-11,112059,17.0
2022-10-12,118695,17.9
2022-10-13,73732,18.7
2022-10-14,114921,15.7
2022-10-15,118062,16.2
2022-10-16,101163,16.1
2022-10-17,88784,16.6
2022-10-18,101005,12.6
2022-10-19,99852,10.0
2022-10-20,104413,11.1
2022-10-21,108664,13.4
2022-10-22,111348,14.4
2022-10-23,66604,14.7
2022-10-24,66311,14.1
2022-10-25,98171,16.9
2022-10-26,112685,18.3
2022-10-27,115653,16.9
2022-10-28,106226,11.3
2022-10-29,105008,10.8
2022-10-30,95656,12.5
2022-10-31,96458,14.4
2022-11-01,103775,16.9
2022-11-02,117444,17.6
2022-11-03,116776,15.7
2022-11-04,118788,15.2
2022-11-05,122101,19.4
2022-11-06,103297,19.8
2022-11-07,107226,21.300000000000004
2022-11-08,96598,13.2
2022-11-09,95500,8.7
2022-11-10,109046,12.599999999999998
2022-11-11,54871,16.4
2022-11-12,113802,19.7
2022-11-13,69264,12.9
2022-11-14,73998,6.3
2022-11-15,64512,4.9
2022-11-16,76960,7.3
2022-11-17,78388,5.7
2022-11-18,73521,4.5
2022-11-19,59493,2.8
2022-11-20,45018,2.7
2022-11-21,59696,1.1
2022-11-22,74006,6.6
2022-11-23,73869,9.4
2022-11-24,37888,8.1
2022-11-25,43128,10.0
2022-11-26,59617,9.3
2022-11-27,34622,10.7
2022-11-28,73068,12.2
2022-11-29,75411,5.4
2022-11-30,54667,8.4
2022-12-01,73173,5.7
2022-12-02,74951,3.4
2022-12-03,45429,10.6
2022-12-04,62606,7.0
2022-12-05,73891,5.4
2022-12-06,52639,9.3
2022-12-07,74044,13.8
2022-12-08,89347,11.6
2022-12-09,76825,5.3
2022-12-10,63441,2.2
2022-12-11,32718,3.4
2022-12-12,59960,1.6
2022-12-13,65507,0.3
2022-12-14,67388,1.7
